Index,DrugName,Prescribed_for,User_Rating,Count_of_Reviews
0,A / B Otic,['Otitis Media'],10.0,18
1,Abacavir / dolutegravir / lamivudine,['HIV Infection'],9.0,251
2,Abacavir / lamivudine,['HIV Infection'],10.0,11
3,Abatacept,['Rheumatoid Arthritis'],6.5,175
4,Abilify,"['Bipolar Disorde' 'Schizoaffective Disorde' 'Depression'
 ""Tourette's Syndrome"" 'Major Depressive Disorde'
 'Obsessive Compulsive Disorde' 'Agitated State' 'Schizophrenia' 'Autism'
 'Post Traumatic Stress Disorde']",6.123287671232877,5803
5,Abilify Discmelt,['Depression'],9.0,3
6,Abilify Maintena,['Schizophrenia'],10.0,22
7,Abiraterone,['Prostate Cance'],9.666666666666666,63
8,AbobotulinumtoxinA,['acial Wrinkles'],10.0,10
9,Abreva,['Herpes Simplex'],6.446808510638298,380
10,Absorica,['Acne'],6.5,13
11,Abstral,['Breakthrough Pain'],4.0,9
12,Acamprosate,['Alcohol Dependence'],8.764705882352942,2105
13,Acanya,['Acne'],7.0,164
14,Acarbose,"['Diabetes, Type 2']",8.0,2
15,Accolate,"['Asthma, Maintenance']",10.0,19
16,Accutane,['Acne' 'Acute Nonlymphocytic Leukemia'],8.405405405405405,2512
17,Acetaminophen,['Sciatica' 'Pain' 'Muscle Pain' 'eve'],6.111111111111111,151
18,Acetaminophen / aspirin,['Pain'],9.0,6
19,Acetaminophen / aspirin / caffeine,['Migraine' 'Osteoarthritis' 'Pain/Feve'],7.423076923076923,241
20,Acetaminophen / aspirin / caffeine / salicylamide,['Pain' 'Migraine'],9.5,9
21,Acetaminophen / butalbital,['Headache'],9.75,54
22,Acetaminophen / butalbital / caffeine,['Headache'],8.448979591836734,1075
23,Acetaminophen / butalbital / caffeine / codeine,['Headache'],9.6,162
24,Acetaminophen / caffeine,['Headache'],9.5,8
25,Acetaminophen / caffeine / dihydrocodeine,['Pain'],8.0,31
26,Acetaminophen / caffeine / isometheptene mucate,['Headache'],8.0,6
27,Acetaminophen / caffeine / magnesium salicylate,['Muscle Pain'],10.0,6
28,Acetaminophen / chlorpheniramine,['Cold Symptoms'],9.0,14
29,Acetaminophen / chlorpheniramine / dextromethorphan / pseudoephedrine,['Cold Symptoms'],2.0,5
30,Acetaminophen / chlorpheniramine / phenylephrine,['Cold Symptoms'],10.0,0
31,Acetaminophen / codeine,['Osteoarthritis' 'Pain' 'Cough'],5.321428571428571,560
32,Acetaminophen / dexbrompheniramine / pseudoephedrine,['Allergic Rhinitis' 'Sinus Symptoms'],9.0,0
33,Acetaminophen / dextromethorphan / guaifenesin / phenylephrine,['Cold Symptoms'],10.0,4
34,Acetaminophen / dextromethorphan / guaifenesin / pseudoephedrine,['Cold Symptoms'],10.0,1
35,Acetaminophen / dextromethorphan / pseudoephedrine,['Cold Symptoms'],8.0,3
36,Acetaminophen / dichloralphenazone / isometheptene mucate,['Headache'],8.4375,142
37,Acetaminophen / diphenhydramine,['Insomnia' 'Pain'],9.25,54
